time,euler_energy,euler_energy_drift,euler_separation_drift,verlet_energy,verlet_energy_drift,verlet_separation_drift
0,-0.4999995,0,0,-0.4999995,0,0
0.1,-0.499799525568,0.000399949264187,0.000100988752306,-0.4999995,1.98730120138e-14,1.99666581047e-08
0.2,-0.499599604234,0.000799792333396,0.000207924754826,-0.4999995,8.04912497765e-14,7.94679613225e-08
0.3,-0.499399743963,0.00119951327349,0.000326651479428,-0.4999995,1.80300399499e-13,1.77315855998e-07
0.4,-0.499199957873,0.0015990858543,0.000462771023785,-0.4999995,3.15969788778e-13,3.1155662783e-07
0.5,-0.499000263947,0.00199847410566,0.000621531470015,-0.4999995,4.8361363314e-13,4.79509914442e-07
0.6,-0.49880068466,0.00239763307898,0.000807721165276,-0.4999995,6.82232730864e-13,6.77822223238e-07
0.7,-0.498601246498,0.00279650980089,0.00102557218504,-0.4999995,9.04388580248e-13,9.02533894287e-07
0.8,-0.498401979398,0.00319504440048,0.00127867507251,-0.4999995,1.15141345025e-12,1.14915816218e-06
0.9,-0.498202916104,0.00359317138615,0.00156990672157,-0.4999995,1.41697906331e-12,1.41277074484e-06
1,-0.498004091474,0.00399082104432,0.00190137299048,-0.4999995,1.6918705591e-12,1.68810816614e-06
1.1,-0.49780554173,0.00438792092794,0.0022743673049,-0.499999499999,1.97331237728e-12,1.96967285371e-06
1.2,-0.497607303693,0.00478439740014,0.00268934614193,-0.499999499999,2.25542032994e-12,2.25184290548e-06
1.3,-0.497409413992,0.00518017719681,0.00314592189202,-0.499999499999,2.53264329642e-12,2.52898434172e-06
1.4,-0.497211908302,0.00557518897122,0.00364287318609,-0.499999499999,2.79943015602e-12,2.79556359795e-06
1.5,-0.497014820593,0.00596936478443,0.00417817236416,-0.499999499999,3.04911956395e-12,3.04625800807e-06
1.6,-0.496818182428,0.00636264150758,0.00474902936329,-0.499999499999,3.27860289262e-12,3.27606207828e-06
1.7,-0.496622022326,0.00675496210454,0.00535195092929,-0.499999499999,3.48377231274e-12,3.48038742981e-06
1.8,-0.49642636519,0.007146276768,0.00598281372031,-0.499999499999,3.65763341226e-12,3.65515440759e-06
1.9,-0.496231231826,0.00753654388616,0.00663694958049,-0.499999499998,3.800408236e-12,3.7968735398e-06
2,-0.496036638552,0.00792573082289,0.00730924102605,-0.499999499998,3.90687873053e-12,3.9027152019e-06
2.1,-0.495842596908,0.00831381449907,0.00799422480851,-0.499999499998,3.97671182861e-12,3.97056611701e-06
2.2,-0.495649113466,0.00870078176876,0.00868620130231,-0.499999499998,4.00435640957e-12,3.99907154702e-06
2.3,-0.495456189749,0.00908662958865,0.00937934740667,-0.499999499998,3.99247701133e-12,3.98766234166e-06
2.4,-0.495263822244,0.00947136498435,0.0100678306503,-0.499999499998,3.94062954423e-12,3.93656630115e-06
2.5,-0.495072002517,0.00985500482103,0.0107459222384,-0.499999499998,3.85170059103e-12,3.84680362986e-06
2.6,-0.494880717424,0.01023757539,0.0114081068776,-0.499999499999,3.72580117414e-12,3.72016656436e-06
2.7,-0.494689949397,0.0106191118254,0.0120491873499,-0.499999499999,3.56537378665e-12,3.55918359252e-06
2.8,-0.494499676816,0.0109996573674,0.0126643819712,-0.499999499999,3.37352705615e-12,3.36706896853e-06
2.9,-0.494309874444,0.0113792624914,0.0132494132633,-0.499999499999,3.1524814309e-12,3.14765853959e-06
3,-0.494120513919,0.0117579839206,0.01380058637,-0.499999499999,2.90967541261e-12,2.9053331585e-06
3.1,-0.493931564296,0.0121358835446,0.0143148559729,-0.499999499999,2.64999398747e-12,2.64493121405e-06
3.2,-0.493742992626,0.0125130272622,0.0147898806824,-0.499999499999,2.37587964858e-12,2.3716520301e-06
3.3,-0.49355476456,0.0128894837699,0.0152240641087,-0.499999499999,2.09521498729e-12,2.09095205239e-06
3.4,-0.493366844975,0.0132653233168,0.0156165820463,-0.499999499999,1.81388419152e-12,1.80843590369e-06
3.5,-0.493179198599,0.0136406164438,0.0159673954288,-0.4999995,1.53666122504e-12,1.52974447909e-06
3.6,-0.492991790644,0.0140154327284,0.0162772489356,-0.4999995,1.26809800682e-12,1.26044231563e-06
3.7,-0.492804587418,0.0143898395538,0.0165476553506,-0.4999995,1.01296850064e-12,1.00590648677e-06
3.8,-0.492617556923,0.0147639009196,0.0167808659884,-0.4999995,7.7893325301e-13,7.71219240692e-07
3.9,-0.492430669412,0.0151376763142,0.0169798277177,-0.4999995,5.69656003591e-13,5.61066519689e-07
4,-0.492243897923,0.0155112196651,0.0171481273193,-0.4999995,3.87357200649e-13,3.79644396808e-07
4.1,-0.49205721875,0.0158845783847,0.017289924119,-0.4999995,2.39031256233e-13,2.30575293081e-07
4.2,-0.491870611865,0.0162577925289,0.0174098720374,-0.4999995,1.23901013449e-13,1.16835643826e-07
4.3,-0.491684061275,0.0166308940819,0.0175130323824,-0.4999995,4.70735033176e-14,4.0696471304e-08
4.4,-0.49149755531,0.017003906384,0.0176047788947,-0.4999995,1.0769174108e-14,3.67803498769e-09
4.5,-0.491311086833,0.0173768437124,0.0176906967143,-0.4999995,1.28785999642e-14,6.51947629215e-09
4.6,-0.491124653362,0.0177497110274,0.0177764770821,-0.4999995,5.57332515694e-14,4.91640610445e-08
4.7,-0.490938257116,0.0181225038915,0.0178678097054,-0.4999995,1.37667792721e-13,1.30760309913e-07
